"","collectPoints_x","collectPoints_y","collectTimes"
"250",-79.6659164428711,43.6685066223145,"2019-01-02 05:44:29"
"251",-79.6672515869141,43.6689643859863,"2019-01-02 06:44:29"
"252",-79.6667175292969,43.6686058044434,"2019-01-02 07:44:29"
"253",-79.6664047241211,43.6683616638184,"2019-01-02 08:44:29"
"254",-79.6667404174805,43.6688919067383,"2019-01-02 09:44:29"
"255",-79.6668930053711,43.6682739257813,"2019-01-02 10:44:29"
"256",-79.2789154052734,43.7781677246094,"2019-01-02 13:33:39"
"257",-79.2773361206055,43.7784614562988,"2019-01-02 14:00:12"
"258",-79.2758255004883,43.6945991516113,"2019-01-02 15:29:17"
"259",-79.2696762084961,43.698184967041,"2019-01-02 16:10:20"
"260",-79.2646255493164,43.752986907959,"2019-01-02 17:09:58"
"261",-79.2716445922852,43.7656440734863,"2019-01-02 17:41:06"
"262",-79.2423629760742,43.8274383544922,"2019-01-02 18:23:14"
"263",-79.048095703125,43.8293800354004,"2019-01-02 19:53:18"
"264",-79.0484466552734,43.8293991088867,"2019-01-02 20:53:18"
"265",-79.687141418457,43.6717987060547,"2019-01-02 22:18:37"
"266",-79.6667709350586,43.6690940856934,"2019-01-02 22:58:31"
"267",-79.6667404174805,43.6692085266113,"2019-01-02 23:58:31"
"268",-79.66748046875,43.6683883666992,"2019-01-03 00:58:31"
"269",-79.6672744750977,43.6686134338379,"2019-01-03 01:58:31"
"270",-79.6673965454102,43.6692314147949,"2019-01-03 02:58:31"
"271",-79.6673736572266,43.6690444946289,"2019-01-03 03:58:31"
"272",-79.6663970947266,43.6686935424805,"2019-01-03 04:58:31"
"273",-79.6671371459961,43.6693649291992,"2019-01-03 05:58:31"
"274",-79.6675109863281,43.6696128845215,"2019-01-03 06:58:31"
"275",-79.6666412353516,43.6696281433105,"2019-01-03 07:58:31"
"276",-79.6667556762695,43.6691017150879,"2019-01-03 08:58:31"
"277",-79.6672592163086,43.6689682006836,"2019-01-03 09:58:31"
"278",-79.6671371459961,43.6687545776367,"2019-01-03 10:58:31"
"279",-79.2787704467773,43.7781715393066,"2019-01-03 13:37:55"
"280",-79.2776031494141,43.7250442504883,"2019-01-03 14:46:54"
"281",-79.2693099975586,43.7878799438477,"2019-01-03 15:42:48"
"282",-79.2404251098633,43.7855339050293,"2019-01-03 16:16:15"
"283",-79.0979690551758,43.8276672363281,"2019-01-03 18:09:20"
"284",-79.0482025146484,43.82958984375,"2019-01-03 19:18:27"
"285",-78.878303527832,43.927978515625,"2019-01-03 20:41:14"
"286",-79.6870803833008,43.6717834472656,"2019-01-03 22:36:07"
"287",-79.6665573120117,43.668399810791,"2019-01-03 23:22:21"
"288",-79.6658554077148,43.6681327819824,"2019-01-04 00:18:42"
"289",-79.6661758422852,43.6676216125488,"2019-01-04 01:18:42"
"290",-79.6664428710938,43.667667388916,"2019-01-04 02:18:42"
"291",-79.6664962768555,43.6680526733398,"2019-01-04 03:18:42"
"292",-79.6654968261719,43.6675071716309,"2019-01-04 04:18:42"
"293",-79.6660690307617,43.6685066223145,"2019-01-04 05:18:42"
"294",-79.6668853759766,43.6685523986816,"2019-01-04 06:18:42"
"295",-79.6659164428711,43.6678848266602,"2019-01-04 08:18:42"
"296",-79.6658935546875,43.6681213378906,"2019-01-04 09:18:42"
"297",-79.6660537719727,43.6681938171387,"2019-01-04 10:18:42"
"298",-79.6663284301758,43.6679649353027,"2019-01-04 11:18:42"
"299",-79.2788391113281,43.7785186767578,"2019-01-04 13:39:27"
"300",-79.269401550293,43.7556800842285,"2019-01-04 14:21:57"
"301",-79.2776641845703,43.7250442504883,"2019-01-04 15:00:05"
"302",-79.2789764404297,43.7194480895996,"2019-01-04 15:27:13"
"303",-79.2404022216797,43.785514831543,"2019-01-04 16:11:07"
"304",-79.2365188598633,43.8158187866211,"2019-01-04 17:13:29"
"305",-79.0480728149414,43.8293266296387,"2019-01-04 19:21:01"
"306",-79.6871337890625,43.6717834472656,"2019-01-04 23:04:30"
"307",-79.6665496826172,43.6683731079102,"2019-01-04 23:58:14"
"308",-79.6663436889648,43.6677284240723,"2019-01-05 00:53:15"
"309",-79.6656341552734,43.6679039001465,"2019-01-05 01:53:15"
"310",-79.6667633056641,43.6682815551758,"2019-01-05 02:53:15"
"311",-79.6659698486328,43.6677284240723,"2019-01-05 03:53:15"
"312",-79.6653747558594,43.6674728393555,"2019-01-05 04:53:15"
"313",-79.6659317016602,43.668643951416,"2019-01-05 05:53:15"
"314",-79.6664581298828,43.6687049865723,"2019-01-05 06:53:15"
"315",-79.6655883789063,43.6685638427734,"2019-01-05 07:53:15"
"316",-79.6660079956055,43.6682662963867,"2019-01-05 08:53:15"
"317",-79.6662368774414,43.6683654785156,"2019-01-05 09:53:15"
"318",-79.6661758422852,43.667552947998,"2019-01-05 10:53:15"
"319",-79.6658554077148,43.6682281494141,"2019-01-05 11:53:15"
"320",-79.665657043457,43.6681480407715,"2019-01-05 12:53:15"
"321",-79.6662673950195,43.6680603027344,"2019-01-05 13:53:15"
"322",-79.6665878295898,43.6683349609375,"2019-01-05 14:53:15"
"323",-79.6661071777344,43.6678085327148,"2019-01-05 15:53:15"
"324",-79.6658935546875,43.6686935424805,"2019-01-05 16:53:15"
"325",-79.6661911010742,43.6679916381836,"2019-01-05 17:53:15"
