Date,Time,Latitude,Longitude
2018-12-24,11:20:21 AM,49.15593338,-123.0172272
2018-12-24,01:13:28 PM,43.66941833,-79.6672821
2018-12-24,11:44:40 AM,49.15612793,-123.0170898
2018-12-24,11:46:13 AM,49.24412537,-122.7545319
2018-12-24,11:56:04 AM,43.6693306,-79.66733551
2018-12-24,09:12:52 AM,43.66945648,-79.66730499
2018-12-24,09:20:21 AM,49.15605927,-123.0171967
2018-12-24,01:31:47 PM,43.66944122,-79.66732788
2018-12-24,09:44:40 AM,49.15597916,-123.0171967
2018-12-24,09:46:13 AM,49.24412918,-122.7544937
2018-12-24,01:44:05 PM,43.66941452,-79.66786194
2018-12-24,12:33:26 PM,43.66936493,-79.66744995
2018-12-24,12:38:26 PM,43.66937637,-79.66739655
2018-12-24,12:43:26 PM,43.66937256,-79.66736603
2018-12-24,12:46:13 PM,49.24412537,-122.7544785
2018-12-24,12:48:26 PM,43.66938782,-79.66733551
2018-12-24,01:46:45 PM,43.66930771,-79.66693115
2018-12-24,12:53:26 PM,43.66939163,-79.66731262
2018-12-24,12:56:04 PM,43.66933823,-79.66746521
2018-12-24,12:57:44 PM,43.66907883,-79.66681671
2018-12-24,01:49:08 PM,43.66854095,-79.66625214
2018-12-24,12:58:26 PM,43.66940689,-79.66728973
2018-12-24,01:03:26 PM,43.66940689,-79.66728973
2018-12-24,01:08:26 PM,43.66941452,-79.6672821
2018-12-24,01:20:07 PM,43.66941452,-79.6672821
2018-12-24,01:20:21 PM,49.15595627,-123.0171432
2018-12-24,11:56:58 AM,49.1558609,-123.0173187
2018-12-24,11:57:44 AM,43.66900635,-79.66689301
2018-12-24,01:31:37 PM,43.66943741,-79.66732025
2018-12-24,12:28:24 PM,43.66938782,-79.6674118
2018-12-24,12:28:25 PM,43.66938782,-79.6674118
2018-12-24,01:45:09 PM,43.66943359,-79.66783905
2018-12-24,01:57:09 PM,43.66906738,-79.66718292
2018-12-24,01:45:09 PM,43.66828537,-79.66745758
2018-12-24,01:46:09 PM,43.6685257,-79.6662674
2018-12-24,01:46:12 PM,49.2441597,-122.7544937
2018-12-24,01:47:09 PM,43.66854095,-79.66624451
2018-12-24,01:48:09 PM,43.66854095,-79.66624451
2018-12-24,02:00:02 PM,43.66905975,-79.66716003
2018-12-24,02:02:30 PM,43.66933441,-79.66749573
2018-12-24,02:07:38 PM,49.15563202,-123.0171585
2018-12-24,01:48:59 PM,43.66854095,-79.66625214
2018-12-24,02:08:11 PM,43.66933441,-79.66748047
2018-12-24,12:56:58 PM,49.15591431,-123.0171738
2018-12-24,01:50:10 PM,43.66835403,-79.6660614
2018-12-24,01:51:09 PM,43.66834641,-79.66607666
2018-12-24,02:14:15 PM,43.66708374,-79.66664124
2018-12-24,01:52:09 PM,43.66834641,-79.66607666
